playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,1B,PA,BA,OBP,TB,SLG,OPS,ISO,BB%,K%,BB/K,BAPIP,SB%,Weighted162Factor,Weight,Height,yearID
adamsba01,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2010-01-01
adamsda02,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2013-01-01
altheaa01,0,200,20,0,10,0,0,20,10,0,0,70,0,10,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,220,10,2016-01-01
alvarhe01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,200,10,2015-01-01
anderfr01,0,80,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2015-01-01
anderjo01,0,0,60,0,20,0,0,0,40,0,20,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,10,180,10,2006-01-01
andruel01,150,590,100,0,0,0,0,60,40,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,2011-01-01
armstsh01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2016-01-01
atchisc01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2010-01-01
barfijo02,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,190,10,2009-01-01
bartoda02,20,0,0,20,10,0,0,10,0,0,10,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2007-01-01
belljo01,0,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,0,0,0,0,0,230,10,2012-01-01
beltrad01,0,0,0,0,0,0,0,100,0,0,40,0,0,0,0,10,10,120,0,0,0,340,0,0,0,0,0,0,0,0,0,220,10,2012-01-01
